x,error,function,derivative
3060000000.0,3060000000.0,9.3636e+18,6120000000.0
1530000000.0,1530000000.0,2.3408999999999995e+18,3060000000.0
765000000.0000001,764999999.9999999,5.852249999999995e+17,1530000000.0000002
382500000.00000054,382499999.9999996,1.463062499999998e+17,765000000.0000011
191250000.00000104,191249999.9999995,3.657656249999979e+16,382500000.0000021
95625000.0000021,95624999.99999894,9144140624999790.0,191250000.0000042
47812500.00000425,47812499.999997854,2286035156249794.0,95625000.0000085
23906250.000008523,23906249.999995723,571508789062295.5,47812500.00001705
11953125.000017062,11953124.999991462,142877197265420.88,23906250.000034124
5976562.500034131,5976562.499982931,35719299316202.23,11953125.000068262
2988281.2500682655,2988281.2499658656,8929824828897.555,5976562.500136531
1494140.6251365328,1494140.6249317327,2232456207071.389,2988281.2502730656
747070.3127730663,747070.3123634665,558114051614.8472,1494140.6255461327
373535.15679613315,373535.1559769332,139528512750.71176,747070.3135922663
186767.57921726658,186767.57757886656,34882128034.67795,373535.15843453316
93383.79124703328,93383.7879702333,8720531855.669489,186767.58249406656
46691.89890031657,46691.89234671671,2180132810.9173837,93383.79780063314
23345.95600375767,23345.9428965589,545033049.7293888,46691.91200751534
11672.991109073928,11672.964894683742,136258109.43251896,23345.982218147856
5836.521768897717,5836.469340176211,34064374.35881694,11673.043537795435
2918.313312934885,2918.2084559628324,8515940.592452982,5836.62662586977
1459.2615115557032,1459.0518013791816,2128832.159107836,2918.5230231114065
729.8404508856694,729.4210606700339,532055.0837489972,1459.6809017713388
365.33949516079656,364.5009557248728,132860.9467243457,730.6789903215931
183.50732469443386,181.8321704663627,33062.93821650837,367.0146493888677
93.42117071784756,90.0861539765863,8115.515138293218,186.84234143569512
49.986074176380235,43.435096541467324,1886.607611566587,99.97214835276047
31.11474208387056,18.871332092509675,356.12717494578567,62.22948416774112
25.39193753698028,5.722804546890281,32.75049188190815,50.78387507396056
24.74703811104614,0.6448994259341383,0.4158952695701146,49.49407622209228
24.738635180810533,0.008402930235607897,7.060923655899387e-05,49.477270361621066
24.738633753706004,1.4271045287728157e-06,2.0463630789890885e-12,49.47726750741201
24.73863375370596,4.263256414560601e-14,-1.1368683772161603e-13,49.47726750741192
